"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
2,12,80,"B0BRSQSL3S",true,425,"INR",2897,2472,85.33,18,3.5,"https://www.amazon.in/dp/B0BRSQSL3S","63.00",false,false,false,false,"Fast Fashions Women's Tie-Dye Co-Ords Set","https://m.media-amazon.com/images/I/71hTmE6deRL._AC_UL400_.jpg"
2,13,81,"B08FMS6VBL",true,447.3,"INR",999,551.7,55.23,1137,3.9,"https://www.amazon.in/dp/B08FMS6VBL","4434.30",false,false,false,false,"HSR Sweat Shapewear Vest Belt for Women, Polymer Shapewear, Workout for Weight Loss Waist Body Slimming, Trainer","https://m.media-amazon.com/images/I/813W7NosWvL._AC_UL400_.jpg"
2,14,82,"B09PGFD7TW",true,395,"INR",1999,1604,80.24,1307,3.3,"https://www.amazon.in/dp/B09PGFD7TW","4313.10",false,false,false,false,"DHRUVI TRENDZ Women Rayon Casual Wear Western Dress Gown for Girl/Women/Ladies","https://m.media-amazon.com/images/I/51IAgWvFuGS._AC_UL400_.jpg"
2,15,83,"B0BRN5KXSR",true,844,"INR",1599,755,47.22,116,3.5,"https://www.amazon.in/dp/B0BRN5KXSR","406.00",false,false,false,true,"LEOTUDE Women Cottonblend Half Sleeve Oversized Combo T-Shirts (Pack of 3)","https://m.media-amazon.com/images/I/81oFnyJXeAL._AC_UL400_.jpg"
2,16,84,"B089FKJND8",true,378,"INR",1199,821,68.47,10377,3.9,"https://www.amazon.in/dp/B089FKJND8","40470.30",false,false,false,true,"Fabricorn Stylish Plain Up and Down Cotton Tshirt for Women","https://m.media-amazon.com/images/I/61hbqL0V5JL._AC_UL400_.jpg"
2,17,85,"B0BSNVVCVQ",true,645,"INR",1899,1254,66.03,235,4.1,"https://www.amazon.in/dp/B0BSNVVCVQ","963.50",false,false,false,true,"KERI PERRY Women's Chiffon Western Dress(Sky Blue) Dress for Women, Dress","https://m.media-amazon.com/images/I/81yH4BZ9uPL._AC_UL400_.jpg"
2,18,86,"B07SRG3D7N",true,378,"INR",1680,1302,77.5,2703,4.1,"https://www.amazon.in/dp/B07SRG3D7N","11082.30",false,false,true,false,"BLINKIN Gym wear Mesh Leggings Workout Pants with Side Pockets/Stretchable Tights/Highwaist Sports Fitness Yoga Track Pant...","https://m.media-amazon.com/images/I/61OZ2jbO7pL._AC_UL400_.jpg"
2,19,87,"B0BSXKXV64",true,279,"INR",1499,1220,81.39,181,4.2,"https://www.amazon.in/dp/B0BSXKXV64","760.20",false,false,false,false,"Lymio Tops for Women || Tops for Women Women Tops || Tops || top for Women || top || Women top (598-601)","https://m.media-amazon.com/images/I/71-agVsgaRL._AC_UL400_.jpg"
2,20,88,"B09HKPH8M3",true,1199,"INR",3899,2700,69.25,93,4.1,"https://www.amazon.in/dp/B09HKPH8M3","381.30",false,false,false,true,"PANASH TRENDS Women's Jacquard Silk Salwar Suit Un-Stitched","https://m.media-amazon.com/images/I/81WyQJ2YIbL._AC_UL400_.jpg"
2,21,89,"B0BH7YQW7R",true,830,"INR",964,134,13.9,226,4,"https://www.amazon.in/dp/B0BH7YQW7R","904.00",false,false,true,true,"Sponsored Ad - Lux Cottswool V Neck Full Sleeves Upper and Lower Thermal Set for Women","https://m.media-amazon.com/images/I/51YYytax4NL._AC_UL400_.jpg"
