"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,43,58,"B07KWP6YJZ",true,899,"INR",2089,1190,56.97,3314,4,"https://www.amazon.in/dp/B07KWP6YJZ","13256.00",false,false,false,true,"Sponsored Ad - Hopscotch Boys Cotton All-Over Print T-Shirt with Jacket & Pant Set in Green Color","https://m.media-amazon.com/images/I/61eU-2gSbgL._AC_UL400_.jpg"
1,44,59,"B09B5LPQSQ",true,667,"INR",1049,382,36.42,11,3.2,"https://www.amazon.in/dp/B09B5LPQSQ","35.20",false,false,false,true,"Hopscotch Boys Formal Set","https://m.media-amazon.com/images/I/51bKXzSo+uL._AC_UL400_.jpg"
1,45,60,"B07D8Z3K7L",false,2414,"INR",0,0,0,4,5,"https://www.amazon.in/dp/B07D8Z3K7L","20.00",false,false,false,false,"Hudson baby Baby Boys' Multi Piece Clothing Set","https://m.media-amazon.com/images/I/81zDoYNwYNL._AC_UL400_.jpg"
1,46,61,"B0BTC7WHV8",true,739,"INR",1999,1260,63.03,19,3,"https://www.amazon.in/dp/B0BTC7WHV8","57.00",false,false,false,true,"Bold N Elegant Cute 3D Bear Cute Cartoon Half Sleeve Kid's T-Shirt with Denim Dungaree Bibshorts for Baby Boy & Girl","https://m.media-amazon.com/images/I/51ymMFHaHML._AC_UL400_.jpg"
1,47,62,"B09WKB1HFX",true,438,"INR",1058,620,58.6,1,4,"https://www.amazon.in/dp/B09WKB1HFX","4.00",false,false,false,false,"superbottoms Top & Shorts Set|Evrydaywear|Bundle Pack|Value pack|Sets for Kids|Clothing sets|Baby clothes|Boy clothes|Girl...","https://m.media-amazon.com/images/I/61LXnV+WW9L._AC_UL400_.jpg"
1,48,63,"B07Z679F7T",true,849,"INR",1999,1150,57.53,13368,4,"https://www.amazon.in/dp/B07Z679F7T","53472.00",false,false,false,true,"NammaBaby Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5)","https://m.media-amazon.com/images/I/61PRmZPH96L._AC_UL400_.jpg"
1,49,64,"B09VDNCS75",true,545,"INR",1400,855,61.07,268,3.8,"https://www.amazon.in/dp/B09VDNCS75","1018.40",false,false,false,true,"Googogaaga Boy's Cotton Pocket Detailed T-Shirt With Shorts in White Color","https://m.media-amazon.com/images/I/51KKESbET1L._AC_UL400_.jpg"
1,52,67,"B0BMXCJTX7",true,759,"INR",1999,1240,62.03,27,3,"https://www.amazon.in/dp/B0BMXCJTX7","81.00",false,false,false,true,"Bold N Elegant Stripe Print Happy Face Half Sleeve Kid's T-Shirt with Denim Dungaree Bibshorts for Baby Boy & Girl","https://m.media-amazon.com/images/I/51Vi1AttvXL._AC_UL400_.jpg"
1,53,68,"B0B8VLZM6X",true,499,"INR",1499,1000,66.71,228,3.9,"https://www.amazon.in/dp/B0B8VLZM6X","889.20",false,false,false,true,"BABY GO Full Sleeves Degigner Dungaree for Baby Boys & Baby Girls","https://m.media-amazon.com/images/I/71xs-jvoBtL._AC_UL400_.jpg"
1,54,69,"B096DYMMFM",true,545,"INR",1400,855,61.07,458,3.9,"https://www.amazon.in/dp/B096DYMMFM","1786.20",false,false,false,true,"Googo Gaaga Boy's T-Shirt","https://m.media-amazon.com/images/I/514ftDnqfvL._AC_UL400_.jpg"
